Dis Mag Value,Latitude,Longitude,Affected
8,14,-91,Extreme
9,1.51,78.46,Extreme
6,44.05,6.14,Extreme
6,9.8,-84,Extreme
6,36,4,Extreme
8,-3.924,101.82,Low
7,28,104,Low
6,14.38,-90.22,Low
7,23.5,117,Low
9,-28.553,-70.755,Low
7,31.295,100.75,Low
7,-1.29,-78.52,Low
7,-7.21,109.56,Extreme
7,25.713,100.422,Extreme
7,30.03,31.15,Extreme
6,-0.842,120.764,Low
6,-0.842,120.764,Low
7,48.6,58,Low
7,35.28,71.4,Low
7,38,23.44,Low
3,8.3,121.7,Low
7,0.5,126,Extreme
8,31.9,103.4,Extreme
7,6.1,94.7,Low
7,3.5,97.5,Low
8,-0.557,118.881,Extreme
6,5.552,-0.628,Extreme
6,5.552,-0.628,Extreme
6,-0.025,-79.955,Extreme
8,-31.432,-71.475,Low
7,-8.591,109.803,Extreme
7,-31.372,68.436,Extreme
8,-26.5,-70.5,Extreme
8,19.25,-69,Extreme
8,35.75,5,Extreme
7,-1.5,-78.2,Extreme
7,-38,-73.5,High
8,-54,-71,Low
9,28.5,96.5,Low
9,7.8,-72.5,Extreme
9,18.3,73.2,Extreme
8,-37.093,-72.866,Low
6,34.741,32.335,Extreme
7,38.182,20.942,Extreme
7,-22.1,-68.7,Low
7,36.283,1.467,Extreme
7,36,66,Extreme
7,39.3,22.2,High
8,30,101.8,High
6,32.2,29.6,Low
8,36.664,25.957,Medium
8,35.1,67.5,Extreme
8,37,-4,Medium
6,23,70,Very High
6,23,70,Low
7,-9.5,112.5,Extreme
10,-38.143,-73.407,Extreme
6,36,4.1,Extreme
7,10.4,39.9,Extreme
6,40.9,19.5,High
7,5.173,-76.352,Very High
5,38.8,-28.4,Extreme
8,-2.608,-125.952,Extreme
7,-32.522,-71.233,Extreme
6,35.7,4.4,Extreme
6,39.4,24,Extreme
8,-25.494,-70.55,Extreme
6,39.2,22,Extreme
6,37.5,22.1,Extreme
6,-3.7,119.3,Medium
7,41.386,20.532,High
7,2.849,-74.798,Extreme
5,43.2,-0.5,Extreme
6,39.5,21.2,Extreme
6,-8.965,113.017,Extreme
7,17.412,73.885,Extreme
7,39.368,24.957,Extreme
7,-31.566,117.071,Extreme
8,0.157,119.802,Extreme
6,22.317,111.8,Extreme
6,11.9,41.21,Extreme
7,-3.201,118.904,Extreme
7,24.185,102.543,Extreme
7,6.375,-77.438,Extreme
7,-4.026,-80.542,Extreme
5,21.7,73,High
8,-32.601,-71.076,Extreme
7,10.679,-84.759,Extreme
7,40.641,122.58,Extreme
7,32.455,78.43,Extreme
6,36.61,67.79,Extreme
6,30.37,104.06,Extreme
6,30.37,104.06,Low
7,0.782,79.804,Low
7,0.14,78.3,Extreme
7,-4.603,140.091,Extreme
7,-8.17,114.888,Extreme
7,-4.517,139.918,Extreme
8,-11.164,118.378,Extreme
7,-31.028,-67.767,Extreme
6,45.77,26.76,High
6,45.77,26.76,Low
6,40.739,23.229,Extreme
8,40.5,142.5,Low
