Disaster Subtype_Ground movement,Continent_Africa,Continent_Americas,Continent_Asia,Continent_Europe,Continent_Oceania,Dis Mag Value,Latitude,Longitude,Dead
1,0,0,1,0,0,8,-3.924,101.82,Medium
1,0,0,1,0,0,7,28,104,Extreme
1,0,1,0,0,0,6,14.38,-90.22,Extreme
1,0,0,1,0,0,7,23.5,117,Extreme
1,0,1,0,0,0,9,-28.553,-70.755,Extreme
1,0,0,1,0,0,7,31.295,100.75,Extreme
1,0,1,0,0,0,7,-1.29,-78.52,High
1,0,0,1,0,0,7,-7.21,109.56,Extreme
1,0,0,1,0,0,7,25.713,100.422,Extreme
1,1,0,0,0,0,7,30.03,31.15,Medium
1,0,0,1,0,0,6,-0.842,120.764,High
1,0,0,0,1,0,6,-0.842,120.764,Extreme
0,0,1,0,0,0,7,48.6,58,Medium
1,0,1,0,0,0,7,35.28,71.4,Extreme
1,0,0,0,1,0,7,38,23.44,Extreme
0,0,0,1,0,0,3,8.3,121.7,Extreme
1,0,0,1,0,0,7,0.5,126,Low
1,0,0,1,0,0,8,31.9,103.4,Extreme
1,0,0,1,0,0,7,6.1,94.7,Low
1,0,0,1,0,0,7,3.5,97.5,Medium
1,0,0,1,0,0,8,-0.557,118.881,Medium
1,1,0,0,0,0,6,5.552,-0.628,Medium
1,0,0,1,0,0,6,5.552,-0.628,Medium
1,0,1,0,0,0,6,-0.025,-79.955,Extreme
1,0,1,0,0,0,8,-31.432,-71.475,Medium
1,0,0,1,0,0,7,-8.591,109.803,Extreme
1,0,1,0,0,0,7,-31.372,68.436,Extreme
1,0,1,0,0,0,8,-26.5,-70.5,Low
1,0,1,0,0,0,8,19.25,-69,Very High
1,1,0,0,0,0,8,35.75,5,Extreme
1,0,1,0,0,0,7,-1.5,-78.2,Extreme
1,0,1,0,0,0,7,-38,-73.5,High
1,0,1,0,0,0,8,-54,-71,Low
1,0,0,1,0,0,9,28.5,96.5,Extreme
1,0,1,0,0,0,9,7.8,-72.5,Extreme
1,0,1,0,0,0,9,18.3,73.2,Low
1,0,1,0,0,0,8,-37.093,-72.866,Medium
1,0,0,1,0,0,6,34.741,32.335,High
1,0,0,0,1,0,7,38.182,20.942,Extreme
1,0,1,0,0,0,7,-22.1,-68.7,Low
1,1,0,0,0,0,7,36.283,1.467,Extreme
1,0,0,1,0,0,7,36,66,Extreme
1,0,0,0,1,0,7,39.3,22.2,High
1,0,0,1,0,0,8,30,101.8,High
1,1,0,0,0,0,6,32.2,29.6,Medium
1,0,0,0,1,0,8,36.664,25.957,Very High
1,0,0,1,0,0,8,35.1,67.5,Very High
1,0,0,0,1,0,8,37,-4,Medium
1,0,0,1,0,0,6,23,70,Extreme
1,0,1,0,0,0,6,23,70,Extreme
1,0,0,1,0,0,7,-9.5,112.5,Low
0,0,1,0,0,0,10,-38.143,-73.407,Extreme
1,1,0,0,0,0,6,36,4.1,Very High
1,1,0,0,0,0,7,10.4,39.9,Medium
1,0,0,0,1,0,6,40.9,19.5,Medium
1,0,1,0,0,0,7,5.173,-76.352,High
1,0,0,0,1,0,5,38.8,-28.4,High
1,0,0,1,0,0,8,-2.608,-125.952,Very High
1,0,1,0,0,0,7,-32.522,-71.233,Extreme
1,1,0,0,0,0,6,35.7,4.4,Low
1,0,0,0,1,0,6,39.4,24,High
1,0,1,0,0,0,8,-25.494,-70.55,Low
1,0,0,0,1,0,6,39.2,22,Low
1,0,0,0,1,0,6,37.5,22.1,Low
1,0,0,1,0,0,6,-3.7,119.3,Very High
1,0,0,0,1,0,7,41.386,20.532,Medium
1,0,1,0,0,0,7,2.849,-74.798,Very High
