Severity,Affected sq km,Magnitude (M),Centroid X,Centroid Y,Dead
1,1299.67,4.5,123.171,1.5659,Low
1.5,283444.21,6.8,113.645,29.6123,Low
1.5,57674.59,6,-98.38,23.9167,Low
1.5,464442.54,6.1,-91.2314,31.139,Low
2,49677.14,6.3,-77.1771,21.4518,Low
1.5,247.1,4.1,15.5739,44.41,Low
1.5,1332.63,4,1.7366,43.645,Low
1.5,17593.97,5.9,139.88,37.621,Low
1,184437.33,6.6,4.4226,14.6173,Medium
2,84598.57,5.9,18.139,15.576,Low
1,86946.56,6.2,9.44993,8.16896,Low
2,219532.85,6.7,-81.6252,28.5942,High
2,1973.59,5.2,114.139,22.3851,Low
1.5,4765.56,4.6,-94.646,39.1877,Low
1.5,2917.95,5.3,-7.7468,54.3667,Low
1,59267.62,5.2,33.57,2.72692,Low
1,986533.98,6.7,29.6159,9.42341,Low
2,336227.2,6.1,-95.3388,3.1135,Low
1.5,64676.5,6.2,83.8784,27.949,High
1.5,19.94,6.4,9.148,24.5912,Very High
2,421575.24,7.2,79.76,28.1657,Extreme
1.5,26999.44,4.9,-12.251,8.4278,Low
1,193523.81,5.6,-99.5452,21.4878,Low
1.5,32837,5.4,17.978,-44.1524,Low
1.5,25766.72,5.3,9.926,52.9946,Low
1.5,22875.36,6.1,136.879,47.8978,Low
1.5,42978.95,5.7,74.57,35.4339,Low
1,23949.6,5.3,15.158,21.6577,Low
1,4389.39,5.8,88.848,22.961,Medium
1,31956.12,5.3,7.9375,21.898,High
1.5,1724.25,5.2,14.417,39.21,High
1,2159.17,5.3,98.9472,22.6775,Low
1.5,122334.47,6.5,-67.5271,7.83511,Low
1.5,3337.42,4,-84.242,38.4883,Low
2,911.64,4.6,-111.62,34.2375,Low
1.5,24144.9,5.5,7.19827,1.79,Low
1,45514.5,5.1,3.33829,45.4855,Low
1,5426.54,5.3,86.427,27.295,Low
1,22247.34,6.3,72.3232,33.414,Low
1.5,551384.88,7,112.853,25.9426,Low
1,7143.43,5.7,-7.9912,-33.4188,Low
1.5,18198.36,6.5,1.11137,13.715,Low
1,873.64,4.4,125.249,7.76344,Low
1.5,3486.14,5.3,92.1427,22.2842,Low
1,65387.73,6.3,94.9387,27.6131,Low
1.5,16445.9,5,121.216,24.322,Low
1,5489.1,4.4,-87.2229,13.4982,Low
1,8984.6,5.7,-96.4275,16.8247,Low
1.5,2661.35,6.8,-38.238,-8.9623,Low
1.5,131888.36,6.1,-59.153,3.81464,Low
1,6977.91,5.3,-86.3816,37.5473,Low
1,213686.92,6.1,29.7149,-28.3624,Low
1.5,87427.72,6.4,-57.4317,-31.8884,Low
1.5,42725.96,6.2,8.8349,7.6124,Low
1.5,157698.57,6.1,-69.952,-27.1217,Low
1,5527.86,5.6,37.882,-2.87879,Low
1,1416.82,6,112.952,23.867,Low
1.5,79149.2,6.1,-74.458,45.5748,Low
1.5,13333.9,6.1,-81.5814,34.9912,Low
1.5,48298.66,6.6,-91.1819,37.5744,Low
1.5,24676.67,5.6,-69.853,18.9198,Low
1,37654.52,5.8,89.5446,25.311,Low
1.5,397487.68,6.7,7.468,51.2542,Low
1.5,273962.64,6.8,-62.6279,-27.4231,Low
2,487.87,5.8,46.1693,37.743,Medium
1.5,27377.3,5.8,-67.9388,-45.9533,Low
2,2353.76,5.9,176.79,-38.242,Low
1,2445.78,5.6,33.8718,-1.3642,Low
1,16281.3,5.5,9.6828,24.3178,Low
2,258485.66,6.8,148.682,-21.975,Low
1,242.58,5.7,13.6563,-8.71752,Low
2,28634.32,5.7,-76.1131,2.1871,Extreme
1,248928.28,6.5,17.462,-2.5698,Extreme
1,75112.79,5.6,-116.123,45.5453,Extreme
1,2821.28,5.4,-1.33823,38.498,Extreme
1,18863.13,5.1,29.8386,-1.9573,Low
1,138.28,6.1,15.76,-31.6956,Low
2,81942.34,7.9,-75.1481,-11.42,High
1.5,16376.91,6.6,29.22,-18.6428,Extreme
1,128596.78,6.1,-72.6737,3.72258,Low
1,4253.83,5.6,17.162,-7.293,Low
1,226179.81,6.5,3.5561,-27.2717,Low
2,183781.3,6.5,-7.2489,-3.9395,Low
1.5,126994.99,6.5,-12.825,38.84,Low
1,7889.78,6.1,12.461,3.93172,Low
1,117321.46,6.6,-76.2863,1.6911,Low
1,288499.13,6.3,-77.573,-5.2583,Low
1.5,3389.11,5.5,124.62,7.5946,Low
1.5,12896.69,6.9,34.5151,-2.7778,Low
1,74443.11,5.2,-119.43,35.839,Low
1,13364.22,5.3,-85.3672,15.585,Low
1,46236.69,5.4,125.27,8.8572,Low
1,386846.74,6.8,-55.5512,-29.494,Low
1.5,1747.26,5.5,-122.458,39.6236,Low
1.5,18991.85,5.1,9.58328,54.753,Low
1.5,52.11,6.5,1.61,7.3494,High
1.5,4358.48,5.6,12.411,4.729,High
1,9922.22,6,34.2182,38.4787,Low
1.5,44341.22,6.1,17.85,15.4331,Low
1.5,1155717.36,7.3,133.489,-21.5215,Low
1.5,445992.61,6.9,-59.871,-33.778,Low
1.5,162268.82,6.7,14.723,-5.34759,Low
1,36417.46,5.6,27.3395,38.751,Low
1,2485.81,5.3,12.56,5.12197,Low
1.5,67395.39,5.8,1.753,14.4448,Low
1.5,37984.59,5.7,18.572,12.734,Low
1,31195.25,6.2,-65.894,-12.843,Low
1,22578.75,5.2,-76.4842,2.8694,Low
1.5,6882.43,5.7,-4.4866,37.61,Low
1.5,69965.95,6.2,-85.1445,11.67,Low
1.5,16543.1,5,19.4463,42.2541,Low
1,3798.38,5.1,-7.1252,18.9199,Low
1,4534.1,4.4,-72.5871,19.7388,Low
1,322162.36,6.4,-99.7926,23.273,Low
1,11225.49,5.3,123.245,0.64869,Low
1.5,281856.22,7.1,-55.6697,-34.6637,Low
1.5,2826.17,5.7,34.7625,24.3954,Low
2,63641.54,6.6,17.68,16.38,Low
1,11391.29,6.3,14.219,-34.2934,Low
1,57182.5,5.7,27.5622,45.151,Low
1,13988.78,4.8,2.1111,41.5692,Low
1,19889.49,5,31.3479,47.2563,Low
1.5,137435.4,6.7,8.341,17.6536,Low
1.5,25537.31,5.5,128.528,35.829,Low
1.5,17187.43,5.5,1.395,14.8667,Low
2,138622.34,6.5,-8.8949,33.316,High
1,22329.12,5.2,-14.964,23.6723,Low
1,1718.71,4.5,-61.5887,45.5679,Low
1.5,6342.41,7.1,139.898,-33.2769,Low
1.5,2422.1,5.1,22.2918,37.418,Low
1.5,52546.1,6.2,128.813,41.836,Very High
1.5,35538.59,6.5,117.629,26.95,Low
1.5,139834.53,5.8,137.374,36.272,Low
1,32276.1,5,18.238,-7.4186,Low
1,92386.25,5.9,-82.7443,29.656,Low
1,127233.91,6.1,-93.847,17.711,Low
